rank	name	childcount	min	max	mode	median	mean	stddev
genus	Weissella	1	5	5			5.0	0.0
genus	Thauera	1	4	4			4.0	0.0
genus	Dehalogenimonas	1	1	1			1.0	0.0
genus	Nitrosococcus	3	2	2			2.0	0.0
genus	Thermogymnomonas	3	1	1			1.0	0.0
genus	Haloquadratum	1	2	2			2.0	0.0
genus	Odoribacter	1	4	4			4.0	0.0
genus	Acidimicrobium	1	2	2			2.0	0.0
genus	Photobacterium	1	15	15			15.0	0.0
genus	Methanopyrus	1	1	1			1.0	0.0
genus	Slackia	1	2	2			2.0	0.0
genus	Histophilus	1	5	5			5.0	0.0
genus	Dickeya	2	7	7			7.0	0.0
genus	Fibrobacter	1	3	3			3.0	0.0
genus	Maribacter	1	2	2			2.0	0.0
genus	Arcobacter	3	4	5			4.67	0.47
genus	Bradyrhizobium	6	1	2			1.67	0.47
genus	Salmonella	2	7	8			7.01	0.01
genus	Methanotorris	1	2	2			2.0	0.0
genus	Finegoldia	1	4	4			4.0	0.0
genus	Methanosphaerula	1	3	3			3.0	0.0
genus	Rothia	1	3	3			3.0	0.0
genus	Salinispora	2	3	3			3.0	0.0
genus	Croceibacter	1	2	2			2.0	0.0
genus	Pseudonocardia	1	3	3			3.0	0.0
genus	Kitasatospora	1	9	9			9.0	0.0
genus	Ramlibacter	1	1	1			1.0	0.0
genus	Denitrovibrio	1	2	2			2.0	0.0
genus	Streptosporangium	1	6	6			6.0	0.0
genus	Nocardioides	1	2	2			2.0	0.0
genus	Ignavibacterium	2	1	1			1.0	0.0
genus	SR1_genera_incertae_sedis	1	1	1			1.0	0.0
genus	Weeksella	1	5	5			5.0	0.0
genus	Bacteriovorax	1	2	2			2.0	0.0
genus	Thermodesulfatator	1	2	2			2.0	0.0
genus	Selenomonas	2	4	7			5.5	1.5
genus	Syntrophus	1	1	1			1.0	0.0
genus	Sulfurimonas	2	4	4			4.0	0.0
genus	Ornithobacterium	1	3	3			3.0	0.0
genus	Tolumonas	1	8	8			8.0	0.0
genus	Ureaplasma	2	2	2			2.0	0.0
genus	Cupriavidus	4	4	6			5.0	0.71
genus	Providencia	1	7	7			7.0	0.0
genus	Ammonifex	1	2	2			2.0	0.0
genus	Parvularcula	1	1	1			1.0	0.0
genus	Fluviicola	1	2	2			2.0	0.0
genus	Ferribacterium	1	4	4			4.0	0.0
genus	Natronococcus	1	4	4			4.0	0.0
genus	Azoarcus	3	4	5			4.33	0.47
genus	"Nanoarchaeum"	1	1	1			1.0	0.0
genus	Parabacteroides	1	7	7			7.0	0.0
genus	Dictyoglomus	2	2	2			2.0	0.0
genus	Desulfobacterium	1	6	6			6.0	0.0
genus	Methylibium	1	1	1			1.0	0.0
genus	Methylococcus	1	2	2			2.0	0.0
genus	Myxococcus	1	4	4			4.0	0.0
genus	Riemerella	1	3	3			3.0	0.0
genus	Microlunatus	1	1	1			1.0	0.0
genus	Gordonia	3	2	3			2.67	0.47
genus	Albidiferax	2	2	2			2.0	0.0
genus	Polaromonas	2	1	2			1.5	0.5
genus	Hallella	1	5	5			5.0	0.0
genus	Geobacter	8	2	4			2.75	0.97
genus	Pseudoalteromonas	2	8	9			8.5	0.5
genus	Ethanoligenens	1	3	3			3.0	0.0
genus	Spirochaeta	4	2	3			2.5	0.5
genus	Caldanaerobacter	1	4	4			4.0	0.0
genus	Acidithiobacillus	3	2	2			2.0	0.0
genus	Nitratiruptor	1	3	3			3.0	0.0
genus	Methanosaeta	3	1	2			1.67	0.47
genus	Phenylobacterium	1	1	1			1.0	0.0
genus	GpVII	2	3	3			3.0	0.0
genus	Thiomonas	2	1	1			1.0	0.0
genus	Cellvibrio	1	3	3			3.0	0.0
genus	Desulfatibacillum	1	2	2			2.0	0.0
genus	Desulfovibrio	10	1	5			3.33	1.28
genus	Desulfosporosinus	1	8	8			8.0	0.0
genus	Desulfurispirillum	1	3	3			3.0	0.0
genus	Brucella	8	3	3			3.0	0.0
genus	Syntrophomonas	1	3	3			3.0	0.0
genus	Modestobacter	1	3	3			3.0	0.0
genus	Acinetobacter	3	4	7			6.24	0.55
genus	Staphylococcus	9	4	6			5.3	0.33
genus	Leisingera	1	5	5			5.0	0.0
genus	Streptomyces	15	3	7			5.87	0.81
genus	Deinococcus	6	3	5			4.0	0.58
genus	Mesorhizobium	4	2	2			2.0	0.0
genus	Ignicoccus	1	1	1			1.0	0.0
genus	Pyrobaculum	7	1	1			1.0	0.0
genus	Methylocystis	1	1	1			1.0	0.0
genus	Tistrella	1	4	4			4.0	0.0
genus	Leptospira	3	2	2			2.0	0.0
genus	Nakamurella	1	2	2			2.0	0.0
genus	Basfia	1	6	6			6.0	0.0
genus	Rhodomicrobium	1	2	2			2.0	0.0
genus	Thermosipho	2	3	4			3.5	0.5
genus	Leifsonia	1	1	1			1.0	0.0
genus	Desulfarculus	1	1	1			1.0	0.0
genus	Proteus	1	7	7			7.0	0.0
genus	Zobellia	1	2	2			2.0	0.0
genus	Thiomicrospira	1	3	3			3.0	0.0
genus	Thermocrinis	1	1	1			1.0	0.0
genus	Maricaulis	1	2	2			2.0	0.0
genus	Leptotrichia	1	5	5			5.0	0.0
genus	Hydrogenobaculum	3	2	2			2.0	0.0
genus	Phaeobacter	2	4	4			4.0	0.0
genus	Thalassolituus	1	4	4			4.0	0.0
genus	Alcanivorax	2	2	3			2.5	0.5
genus	Belliella	1	4	4			4.0	0.0
genus	Desulfitobacterium	3	5	6			5.83	0.24
genus	Herbaspirillum	1	3	3			3.0	0.0
genus	Methanohalobium	1	2	2			2.0	0.0
genus	Owenweeksia	1	2	2			2.0	0.0
genus	Methanobrevibacter	3	2	3			2.33	0.47
genus	Moorella	1	1	1			1.0	0.0
genus	Bdellovibrio	2	1	2			1.5	0.5
genus	Pelotomaculum	1	2	2			2.0	0.0
genus	Azotobacter	1	6	6			6.0	0.0
